County Name,Priority Area Number,Priority Area,Focus Area Number,Focus Area,Indicator Order on County Dashboard,Indicator ID,Indicator,Event Count/Rate,Average Number of Denominator/Rate,Measure Unit,Percentage/Rate/Ratio,Lower Limit of 95% CI,Upper Limit of 95% CI,Data Comments,Quartile,2024 Objective,Objective Region,Data Years,Date Source
Albany,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),694,3084,Percent,22.5,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Allegany,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),128,570,Percent,22.5,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Broome,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),614,2469,Percent,24.9,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Cattaraugus,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),265,1064,Percent,24.9,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Cayuga,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),201,886,Percent,22.7,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Chautauqua,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),425,1721,Percent,24.7,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Chemung,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),284,1148,Percent,24.7,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Chenango,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),159,691,Percent,23,,,,22.5 -< 24.1 : Q3,22.8,New York State,2022,"Vital Records, data as of March 2025"
Clinton,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),248,918,Percent,27,,,,24.1+ : Q4,22.8,New York State,2022,"Vital Records, data as of March 2025"
Columbia,0,Improve Health Status and Reduce Health Disparities,0,Improve Health Status and Reduce Health Disparities,1,pa1_0,Percentage of deaths that are premature (before age 65 years),155,737,Percent,21,,,,< 22.5 : Q1 - Q2,22.8,New York State,2022,"Vital Records, data as of March 2025"
